Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-06-22,6737.881348,6006.601074,6747.078125,6083.690918,6083.690918,0,BTCUSD=X
2018-06-25,6171.970703,6119.681641,6327.371582,6249.180176,6249.180176,0,BTCUSD=X
2018-06-26,6253.548828,6093.670898,6290.158691,6093.670898,6093.670898,0,BTCUSD=X
2018-06-27,6084.401367,6052.851074,6179.999512,6157.131348,6157.131348,0,BTCUSD=X
2018-06-28,6153.160645,5873.049316,6170.40918,5903.438477,5903.438477,0,BTCUSD=X
2018-06-29,5898.128906,5835.749023,6261.658203,6218.29834,6218.29834,0,BTCUSD=X
2018-07-02,6380.378906,6305.699219,6683.861816,6614.181152,6614.181152,0,BTCUSD=X
2018-07-03,6596.658691,6447.748535,6671.37207,6529.588867,6529.588867,0,BTCUSD=X
2018-07-04,6550.869141,6450.460449,6771.92041,6597.550781,6597.550781,0,BTCUSD=X
2018-07-05,6599.710449,6546.649414,6749.541992,6639.141113,6639.141113,0,BTCUSD=X
2018-07-06,6638.691406,6533.547852,6700.939453,6673.500488,6673.500488,0,BTCUSD=X
2018-07-09,6775.081543,6724.338867,6838.682129,6741.751465,6741.751465,0,BTCUSD=X
2018-07-10,6739.211914,6320.720703,6767.740723,6329.951172,6329.951172,0,BTCUSD=X
2018-07-11,6330.769043,6330.472168,6444.959961,6394.708008,6394.708008,0,BTCUSD=X
2018-07-12,6396.77832,6136.418945,6397.101074,6228.810547,6228.810547,0,BTCUSD=X
2018-07-13,6235.02832,6192.242188,6310.549805,6238.050293,6238.050293,0,BTCUSD=X
2018-07-16,6357.008301,6357.008301,6741.751465,6741.751465,6741.751465,0,BTCUSD=X
2018-07-17,6739.648438,6684.17041,7387.237793,7321.041016,7321.041016,0,BTCUSD=X
2018-07-18,7315.321289,7280.46875,7534.989258,7370.777344,7370.777344,0,BTCUSD=X
2018-07-19,7378.200684,7295.462402,7494.459961,7466.859863,7466.859863,0,BTCUSD=X
2018-07-20,7467.401367,7323.260254,7594.669434,7354.130859,7354.130859,0,BTCUSD=X
2018-07-23,7414.711914,7409.097656,7771.499512,7711.11084,7711.11084,0,BTCUSD=X
2018-07-24,7716.507813,7705.501953,8424.266602,8424.266602,8424.266602,0,BTCUSD=X
2018-07-25,8379.65918,8086.362305,8416.870117,8181.391602,8181.391602,0,BTCUSD=X
2018-07-26,8176.849121,7878.712402,8290.327148,7951.578125,7951.578125,0,BTCUSD=X
2018-07-27,7950.402344,7839.761719,8262.660156,8165.012207,8165.012207,0,BTCUSD=X
2018-07-30,8221.581055,7917.499512,8235.501953,8180.480957,8180.480957,0,BTCUSD=X
2018-07-31,8181.196777,7696.931641,8181.531738,7780.441895,7780.441895,0,BTCUSD=X
2018-08-01,7769.041992,7504.949707,7769.041992,7624.90918,7624.90918,0,BTCUSD=X
2018-08-02,7634.1875,7523.440918,7712.77002,7567.152344,7567.152344,0,BTCUSD=X
2018-08-03,7562.139648,7328.648438,7562.139648,7434.391113,7434.391113,0,BTCUSD=X
2018-08-06,7062.939941,6890.540527,7166.547852,6951.801758,6951.801758,0,BTCUSD=X
2018-08-07,6958.317871,6748.239746,7146.557617,6753.120605,6753.120605,0,BTCUSD=X
2018-08-08,6746.851074,6226.219727,6746.851074,6305.79834,6305.79834,0,BTCUSD=X
2018-08-09,6305.55957,6249.070313,6625.728516,6568.230957,6568.230957,0,BTCUSD=X
2018-08-10,6571.42041,6124.52002,6591.258301,6184.708984,6184.708984,0,BTCUSD=X
2018-08-13,6341.359375,6225.719727,6537.049805,6297.570313,6297.570313,0,BTCUSD=X
2018-08-14,6287.65918,5971.050781,6287.939941,6199.708984,6199.708984,0,BTCUSD=X
2018-08-15,6221.42041,6221.42041,6588.492188,6308.519531,6308.519531,0,BTCUSD=X
2018-08-16,6294.228516,6276.412109,6473.501465,6334.730957,6334.730957,0,BTCUSD=X
2018-08-17,6340.908691,6324.970703,6582.498535,6580.631836,6580.631836,0,BTCUSD=X
2018-08-20,6500.509277,6297.931152,6536.921875,6308.53125,6308.53125,0,BTCUSD=X
2018-08-21,6301.070313,6298.240234,6500.868164,6488.757813,6488.757813,0,BTCUSD=X
2018-08-22,6486.249512,6310.111816,6816.790527,6376.709473,6376.709473,0,BTCUSD=X
2018-08-23,6371.338379,6371.338379,6546.541992,6534.879883,6534.879883,0,BTCUSD=X
2018-08-24,6551.521484,6498.64209,6719.960449,6719.960449,6719.960449,0,BTCUSD=X
2018-08-27,6710.80127,6689.710449,6884.638672,6884.638672,6884.638672,0,BTCUSD=X
2018-08-28,6891.081543,6882.34082,7109.559082,7096.280273,7096.280273,0,BTCUSD=X
2018-08-29,7091.710449,6970.822754,7113.30127,7047.162109,7047.162109,0,BTCUSD=X
2018-08-30,7043.76123,6834.69043,7072.690918,6978.230957,6978.230957,0,BTCUSD=X
2018-08-31,6973.967773,6920.161133,7057.167969,7037.580078,7037.580078,0,BTCUSD=X
2018-09-03,7279.031738,7208.146973,7317.938477,7260.060547,7260.060547,0,BTCUSD=X
2018-09-04,7262.997559,7255.44043,7388.258301,7361.661621,7361.661621,0,BTCUSD=X
2018-09-05,7361.461426,6792.832031,7388.427734,6792.832031,6792.832031,0,BTCUSD=X
2018-09-06,6755.141113,6404.717773,6755.141113,6529.170898,6529.170898,0,BTCUSD=X
2018-09-07,6528.919434,6396.868164,6555.288086,6467.071289,6467.071289,0,BTCUSD=X
2018-09-10,6301.570313,6292.759766,6374.981445,6329.69873,6329.69873,0,BTCUSD=X
2018-09-11,6331.878906,6260.208496,6398.918945,6321.200684,6321.200684,0,BTCUSD=X
